CIDADE,UF,ENTIDADE,ENDEREÇO,CONTATO,TIPO,,,TIPOS,
Rio Branco,AC,Park Fitness Ltda,"Av Ceará, 395 - Cadeia Velha",(68) 3224-7238,Musculação,1,,Clube de Remo,23
Maceió,AL,CrossFit MCZ,"R Industrial Breno Lins Cansanção, 247 - Jatiuca",(82) 9976-4295,CrossFit,1,,CrossFit,37
Salvador,BA,Academia do Parque,"Rua da Graviola, 164 - Caminho das Árvores",(71) 4103-5757,Crossfit,1,,Musculação,144
Salvador,BA,Academia Espaço Vittal,"Al Benevento, 158 - Pituba",(71) 3452-5573,Musculação,1,,Aula Coletiva,10
Salvador,BA,Associação de Remo Salvador,"Av Presidente Costa e Silva, s/n - Dique do Tororo",(71) 9172-7496,Clube de Remo,1,,,
Salvador,BA,Body Tech IGUATEMI SALVADOR,"As Tancredo Neves, 148 - Loja 01 QD 27 - Shopping Iguatemi",(71) 3450-1832,Musculação,1,,,
Salvador,BA,CrossFit Barra Action,"Rua Macapá, 474 - Ondina",(71) 9168-6007,CrossFit,1,,,
Salvador,BA,Faculdade Social da Bahia,"Av Oceânica, 2.717 - Ondina",(71) 4009-2840,Musculação,1,,,
Salvador,BA,Jaguatirica Fitness,"R Afonso Celso, 161 - Barra",(71) 3013-9087,CrossFit,1,,,
Salvador,BA,Vibe Fitness,"R Professor Sabino Silva, 696 - Jardim Apipema",(71) 3203-4914,Musculação,1,,,
Fortaleza,CE,Life Treinamento Personalizado,"R Joaquim Nabuco, 720 - Meireles",(85) 3055-7876,Musculação,1,,,
Fortaleza,CE,Smarfit COCÓ1,"R Doutor Gilberto Studart, 155",,Musculação,1,,,
Fortaleza,CE,Smartfit ALDEOTA,"Av Santos Dumont, 3.060",,Musculação,1,,,
Fortaleza,CE,Smartfit MARACANAÚ,"Av Carlos Jereissati, 100 - North Shopping Maracanaú - Centro",,Musculação,1,,,
Fortaleza,CE,Smartfit MONTESE1,"Av Expedicionarios, 4444 - Loja 1344 - Jardim America",,Musculação,1,,,
Juazeiro do Norte,CE,Smartfit JUAZEIRO DO NORTE,"Av Padre Cicero, 2241 - Santa Tereza",,Musculação,1,,,
Brasília,DF,Academia Bio Fit,"Cond. 05, lote 2, loja 1",(61) 3355-6447,Musculação,1,,,
Brasília,DF,Academia Corpo 4,"Shcn, 305 bloco A loja 20 - Asa Norte",(61) 3272-8624,Musculação,1,,,
Brasília,DF,Academia Proforma,QRSW 6 CL 01 SubSolo Sudoeste Econ,(61) 3344-0098,Musculação,1,,,
Brasília,DF,Academia Sport Point,"Condominio Estância Jd Botanico 2, Conj B, Lote 11 - Lago Sul",(61) 3427-1512,Musculação,1,,,
Brasília,DF,Body Tech,Sces Trecho 02 Conj. 36 parte A 101 - Lago Sul,(61) 3224-4149,Musculação,1,,,
Brasília,DF,Companhia Athetica,Cj. 32 - Pier 21 - SCES Trecho 2 Tr 2 - Asa Sul,(61) 3322-4000,Musculação,1,,,
Brasília,DF,First Fight Academia de Lutas,QSB 14 Lote 23 C 02 - Tatuatinga Sul,(61) 3257-1635,Musculação,1,,,
Brasília,DF,Sandro Barbosa Vianna - Personal,"Shis Qi, 23 Conj.19 casa 12 - Lago Sul",(61) 3366-2300         (61) 9667-6794,Musculação,1,,,
Brasília,DF,Smartfit CEILÂNDIA2,"ST SHCSW CLSW, 300A/ Bloco B Loja 012 Parte Subsolo - Sudoeste",,Musculação,1,,,
